ts	phase	decision	why	evidence	result
2026-09-08T14:59:57Z	frame	Python remains the spec; TS is the stamped product; done means tools/parity diffs gold vs TS	figure-it-out predicate: same exit, stdout, sqlite, session tree, jsonl, git porcelain after normalizing ids/timestamps	.claude/skills/sssf/design/CONTRACTS.md	open
2026-09-08T14:59:57Z	frame	skip a second architect/arena pass	RATIONALE.md already synthesized Opus+grafts; laziness protocol says a second arena over a settled design is over-engineering	.claude/skills/sssf/design/RATIONALE.md	kept
2026-09-08T14:59:57Z	harness	copy Python templates to tools/parity/python-gold so the harness can still run the spec after templates become TS	outcome-oriented: converge on TS templates, keep gold only for the differential check	.claude/skills/sssf/tools/parity/python-gold/	copied 31 py files
2026-09-08T15:06:25Z	harness	oracle.py calls live Python gold for json/serde/yaml/shlex/format/markup	prove-it-works: the check is old value vs new value, not a hand-written expected string	.claude/skills/sssf/tools/parity/oracle.py	open
2026-09-08T15:06:25Z	design	compat ring owns json format schema markup shell cli yaml	one owner per Python-runtime observable so drift cannot hide in a call site	.claude/skills/sssf/ts-templates/adws/adw_modules/compat/	in progress
2026-09-08T15:20:00Z	c	adw_quality gold vs port matches after normalizing ids, uv install noise, and quality.py/ts	first whole-ADW proof: exit, stdout, sqlite, jsonl, porcelain	.claude/skills/sssf/tools/parity/e2e.test.ts	tests green
2026-09-08T15:20:00Z	c	unknown-agent validation fails with no session on both sides	CONTRACTS: agents.validate raises before ensure	.claude/skills/sssf/tools/parity/e2e.test.ts	tests green
2026-09-08T15:24:00Z	c	encode UsageBreakdown costs as PyFloat so json.dumps writes 0.0 not 0	sqlite dump first-diff was the only fake_pi mismatch	.claude/skills/sssf/templates/adws/adw_modules/compat/json.ts	tests green
2026-09-08T15:25:00Z	c	adw_prompt scout via fake_pi matches gold traces	agent path: pi argv, envelope parse, handoff, permissions snapshot	.claude/skills/sssf/tools/parity/e2e.test.ts	tests green
2026-09-08T15:27:00Z	c	copy templates into python-gold/templates then swap skill templates to TS and delete ts-templates	outcome-oriented: one product tree; gold install keeps its own Python stamp set	.claude/skills/sssf/templates/adws/	tests green
2026-09-08T15:29:00Z	c	install dests share prompts/config/justfile/twelve ADWs; port adds compat/ and drops pycache gitignore	deliberate isomorphic split, not a silent dest-list equality	.claude/skills/sssf/tools/parity/install.test.ts	tests green
2026-09-08T15:29:10Z	e	bun test tools/parity is 30 pass 0 fail	predicate checked on real gold vs port artifacts, not compile	bun test .claude/skills/sssf/tools/parity/	tests green
2026-09-08T15:29:10Z	e	leave TTY color, tools:[], permission-skip, SIGTERM, and joined-session previous=(none) uncased	harness covers argparse, quality, validate, fake_pi happy path, install; remaining CONTRACTS rows stay open	.claude/skills/sssf/design/PARITY.md	open
2026-09-08T15:35:00Z	e	delete skill scripts/install.py make_adw.py make_config.py after TS ports exist	legacy Python install would stamp TS templates and print uv run adws/*.py	.claude/skills/sssf/scripts/	deleted
2026-09-08T15:35:00Z	e	fix leftover .py in run_adw sssf_overview handoff after a mechanical cookbook pass missed placeholders	reviewer caught bun adws/<chain>.py and mixed adw_scout.py in the layout map	.claude/skills/sssf/cookbooks/	fixed
2026-09-08T15:40:00Z	follow-up	did not merge late ts-templates writes from leaf/engine/ADW workers	product is templates/; ts-templates was already deleted and is gone on disk	.claude/skills/sssf/templates/adws/	kept
2026-09-08T15:40:00Z	follow-up	render() stops at \[ so escaped brackets survive; str fields reject ints	reproduced vs live rich/pydantic then encoded as oracle tests	.claude/skills/sssf/tools/parity/markup.test.ts	tests green
2026-09-08T15:55:24Z	audit	compat ring lives at templates/adws/adw_modules/compat/ after ts-templates was deleted	row 6 pointed at a path that no longer exists; append-only so this row supersedes it	.claude/skills/sssf/templates/adws/adw_modules/compat/	kept
2026-09-08T15:55:24Z	audit	oracle.py is in the suite and the live-Python checks pass	row 5 stayed open after the oracle landed; the check is tools/parity/oracle.test.ts	.claude/skills/sssf/tools/parity/oracle.py	tests green
2026-09-08T15:55:24Z	audit	rerun command is bun test ./.claude/skills/sssf/tools/parity/ and the last run was 32 pass 0 fail	row 13 omitted the ./ and bun skips .claude otherwise; count is 32 after the bracket and int-summary tests	.claude/skills/sssf/tools/parity/	tests green
